system:index,ET_mm,NDVI,P_mm,SM,T2m_C,date_str,station_id,.geo
0_00000000000000000000,0.0,0.23493381165919286,46.86122074554854,0.4031479634511632,-0.01715512126013702,2010-01-01,A017 Bormida a Cassine (Caranzano),"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,0.0,-0.02938244972577696,54.70991024868095,0.32711542253014003,-10.629859496192088,2010-01-01,A038 Chisone a Soucherres Basses,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,0.0,0.3407249322493225,45.32609099101245,0.41014425799775567,-4.0068945852829065,2010-01-01,A040 Chisone a S. Martino,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,0.0,0.20711914514692784,91.01339498363781,0.24263440332378783,-5.109310511253034,2010-01-01,A049 Dora Baltea a Tavagnasco,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,0.0,-0.006819493783303732,53.908221032790536,0.3025957889742721,-11.277502684681874,2010-01-01,A057 Dora Riparia a Ulzio (Oulx),"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,0.0,0.1031965377697842,58.466957260378834,0.3589689131263349,-4.008008734613848,2010-01-01,A073 Grana a Monterosso,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,0.0,-0.024667409470752088,49.63230894958552,0.4418357786868554,-7.713580067721886,2010-01-01,A106 Po a Crissolo,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,0.0,0.16076815343443357,28.226926805290336,0.464184477752495,-0.6368304263683844,2010-01-01,A107 Po a Carignano,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,0.0,0.22600628902765388,61.56217922173261,0.4005910310226291,0.10402420955935873,2010-01-01,A141 Scrivia a Serravalle,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,0.0,0.03782248677248677,55.537487566366345,0.22466776869628047,-7.23600073413813,2010-01-01,A146 Sesia a Campertogno,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,0.0,0.21370834080717488,95.43095947402475,0.4120409909919774,1.8422428969310767,2010-02-01,A017 Bormida a Cassine (Caranzano),"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,0.0,0.0065440036068530215,64.82391126893407,0.320732391137871,-8.57919570593523,2010-02-01,A038 Chisone a Soucherres Basses,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,0.0,0.2081567299006323,61.662253420312005,0.40867628530004374,-1.6828420968128723,2010-02-01,A040 Chisone a S. Martino,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,0.0,0.18785711743772243,124.52701347323924,0.23913411313528696,-3.342798981038678,2010-02-01,A049 Dora Baltea a Tavagnasco,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,0.0,0.011470992028343667,66.6397764072469,0.2974308578180359,-9.45430885497396,2010-02-01,A057 Dora Riparia a Ulzio (Oulx),"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,0.0,0.09988255395683455,75.50351238250734,0.34220633746908724,-2.772068556092603,2010-02-01,A073 Grana a Monterosso,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006,0.0,-0.017476343072573043,60.97577754389883,0.43238414166088224,-5.859954518571487,2010-02-01,A106 Po a Crissolo,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,0.0,0.20562850133809102,53.94687921079965,0.4698409557767897,1.064509009464229,2010-02-01,A107 Po a Carignano,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008,0.0,0.15868925066904552,110.29010782233316,0.4105580557041356,1.852193345436575,2010-02-01,A141 Scrivia a Serravalle,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000009,0.0,0.06254543057996485,89.54655966733587,0.21079201857528285,-5.841634944117947,2010-02-01,A146 Sesia a Campertogno,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,0.0,0.45195919282511215,83.35646955549986,0.39489234274278306,6.722544197116756,2010-03-01,A017 Bormida a Cassine (Caranzano),"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,0.0,0.026326663669064755,57.90659370696803,0.3402159437001181,-4.980609877332486,2010-03-01,A038 Chisone a Soucherres Basses,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,0.0,0.43553383017163505,68.1109846161633,0.43721618928021955,2.1324908276345362,2010-03-01,A040 Chisone a S. Martino,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,0.0,0.2627762010676157,121.69979428057141,0.27681891010325144,0.3937426584047158,2010-03-01,A049 Dora Baltea a Tavagnasco,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,0.0,0.033228432240921174,80.02726499288879,0.3123023925997496,-5.787681743125116,2010-03-01,A057 Dora Riparia a Ulzio (Oulx),"{""type"":""MultiPoint"",""coordinates"":[]}"
